Date,signal,Close
2023-05-30,SELL,541.0285034179688
2023-06-14,SELL,563.9696655273438
2023-11-16,SELL,563.010009765625
2024-01-24,SELL,608.6659545898438
2024-01-26,SELL,625.1688842773438
2024-02-16,SELL,663.028564453125
2024-03-11,SELL,743.6015014648438
2024-06-21,SELL,949.6897583007812
2024-07-10,SELL,1023.1195068359375
2025-07-17,SELL,1125.4979248046875
2025-07-21,SELL,1145.4183349609375
2025-09-15,SELL,1250.0
2025-09-24,SELL,1340.0
